order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,year_purchase,month_purchase,month_name_purchase,date_purchase,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,payment_value,review_score
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,2017-10-02 10:56:33,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18,2017,10,October,2017-10-02,7c396fd4830fd04220f754e42b4e5bff,3149,sao paulo,SP,38.71,4.0
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,2017-11-18 19:28:06,2017-11-18 19:45:59,2017-11-22 13:39:59,2017-12-02 00:28:42,2017-12-15,2017,11,November,2017-11-18,7c142cf63193a1473d2e66489a9ae977,59296,sao goncalo do amarante,RN,72.2,5.0
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,2017-07-09 21:57:05,2017-07-09 22:10:13,2017-07-11 14:58:04,2017-07-26 10:57:55,2017-08-01,2017,7,July,2017-07-09,80bb27c7c16e8f973207a5086ab329e2,86320,congonhinhas,PR,175.26,4.0
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,2017-04-11 12:22:08,2017-04-13 13:25:17,,,2017-05-09,2017,4,April,2017-04-11,36edbb3fb164b1f16485364b6fb04c73,98900,santa rosa,RS,65.95,2.0
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,2017-05-16 13:10:30,2017-05-16 13:22:11,2017-05-22 10:07:46,2017-05-26 12:55:51,2017-06-07,2017,5,May,2017-05-16,932afa1e708222e5821dac9cd5db4cae,26525,nilopolis,RJ,75.16,5.0
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,2017-01-23 18:29:09,2017-01-25 02:50:47,2017-01-26 14:16:31,2017-02-02 14:08:10,2017-03-06,2017,1,January,2017-01-23,39382392765b6dc74812866ee5ee92a7,99655,faxinalzinho,RS,35.95,1.0
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,delivered,2017-07-29 11:55:02,2017-07-29 12:05:32,2017-08-10 19:45:24,2017-08-16 17:14:30,2017-08-23,2017,7,July,2017-07-29,299905e3934e9e181bfb2e164dd4b4f8,18075,sorocaba,SP,169.76,5.0
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,2017-05-16 19:41:10,2017-05-16 19:50:18,2017-05-18 11:40:40,2017-05-29 11:18:31,2017-06-07,2017,5,May,2017-05-16,f2a85dec752b8517b5e58a06ff3cd937,20780,rio de janeiro,RJ,259.06,1.0
34513ce0c4fab462a55830c0989c7edb,7711cf624183d843aafe81855097bc37,delivered,2017-07-13 19:58:11,2017-07-13 20:10:08,2017-07-14 18:43:29,2017-07-19 14:04:48,2017-08-08,2017,7,July,2017-07-13,782987b81c92239d922aa49d6bd4200b,4278,sao paulo,SP,114.13,4.0
116f0b09343b49556bbad5f35bee0cdf,3187789bec990987628d7a9beb4dd6ac,delivered,2017-12-26 23:41:31,2017-12-26 23:50:22,2017-12-28 18:33:05,2018-01-08 22:36:36,2018-01-29,2017,12,December,2017-12-26,6087cfc70fd833cf2db637a5e6e9d76b,88780,imbituba,SC,43.09,5.0
85ce859fd6dc634de8d2f1e290444043,059f7fc5719c7da6cbafe370971a8d70,delivered,2017-11-21 00:03:41,2017-11-21 00:14:22,2017-11-23 21:32:26,2017-11-27 18:28:00,2017-12-11,2017,11,November,2017-11-21,d0ff1a7468fcc46b8fc658ab35d2a12c,13186,hortolandia,SP,29.75,5.0
83018ec114eee8641c97e08f7b4e926f,7f8c8b9c2ae27bf3300f670c3d478be8,delivered,2017-10-26 15:54:26,2017-10-26 16:08:14,2017-10-26 21:46:53,2017-11-08 22:22:00,2017-11-23,2017,10,October,2017-10-26,634f09f6075fe9032e6c19609ffe995a,44024,feira de santana,BA,92.97,4.0
203096f03d82e0dffbc41ebc2e2bcfb7,d2b091571da224a1b36412c18bc3bbfe,delivered,2017-09-18 14:31:30,2017-09-19 04:04:09,2017-10-06 17:50:03,2017-10-09 22:23:46,2017-09-28,2017,9,September,2017-09-18,d699688533772c15a061e8ce81cb56df,4001,sao paulo,SP,118.86,2.0
f70a0aff17df5a6cdd9a7196128bd354,456dc10730fbdba34615447ea195d643,delivered,2017-08-10 11:58:33,2017-08-12 02:45:24,2017-08-17 15:35:07,2017-08-18 14:28:02,2017-08-23,2017,8,August,2017-08-10,1974875b4a1d2e2ee6d586e3ba4d7602,5634,sao paulo,SP,313.19,2.0
989225ba6d0ebd5873335f7e01de2ae7,816f8653d5361cbf94e58c33f2502a5c,delivered,2017-12-12 13:56:04,2017-12-14 13:54:13,2017-12-16 00:18:57,2018-01-03 18:03:36,2018-01-08,2017,12,December,2017-12-12,37363700139c1aef873bbcd916e57dfd,5778,sao paulo,SP,63.1,4.0
5acce57f8d9dfd55fa48e212a641a69d,295ae9b35379e077273387ff64354b6f,delivered,2017-07-31 21:37:10,2017-08-02 02:56:02,2017-08-03 18:32:48,2017-08-08 21:24:41,2017-08-22,2017,7,July,2017-07-31,f1f4f45c8602d0db1329eed1c8e935d4,19780,quata,SP,43.0,5.0
1e7aff52cdbb2451ace09d0f848c3699,ddaff536587109b89777e0353215e150,delivered,2017-05-19 18:53:40,2017-05-19 19:05:17,2017-05-22 10:16:07,2017-05-31 13:58:46,2017-06-12,2017,5,May,2017-05-19,c796780c7daeab9e94cc052b1f103b21,26600,paracambi,RJ,154.19,5.0
